,inner_x,inner_y,outer_x,outer_y
115,-112.46331126122121,-24.758909914648697,-114.42922162027463,-12.921038633875012
116,-113.44980053461902,-24.92273577790315,-115.41571089367244,-13.084864497129466
117,-114.43628980801682,-25.086561641157605,-116.40220016707022,-13.248690360383915
118,-115.42277908141465,-25.250387504412053,-117.38868944046804,-13.412516223638361
119,-116.40926835481245,-25.414213367666505,-118.37517871386585,-13.576342086892815
120,-117.39575762821025,-25.57803923092095,-119.36166798726367,-13.740167950147265
121,-118.38224690160806,-25.74186509417541,-120.34815726066148,-13.903993813401721
122,-119.36873617500588,-25.905690957429858,-121.33464653405927,-14.067819676656168
123,-120.35522544840369,-26.06951682068431,-122.32113580745708,-14.23164553991062
124,-121.3417147218015,-26.23334268393876,-123.30762508085489,-14.395471403165068
125,-122.32820399519929,-26.39716854719321,-124.29411435425271,-14.559297266419522
126,-123.31469326859711,-26.560994410447663,-125.2806036276505,-14.723123129673972
127,-124.3011825419949,-26.724820273702107,-126.26709290104833,-14.886948992928422
128,-125.28767181539271,-26.888646136956563,-127.25358217444614,-15.05077485618288
129,-126.27416108879054,-27.05247200021102,-128.24007144784392,-15.214600719437321
130,-127.26065036218833,-27.21629786346546,-129.22656072124173,-15.37842658269177
131,-128.2471396355861,-27.380123726719912,-130.21304999463956,-15.542252445946229
132,-129.23362890898395,-27.543949589974368,-131.19953926803734,-15.706078309200679
133,-130.22011818238175,-27.70777545322882,-132.18602854143515,-15.86990417245513
134,-131.2066074557796,-27.87160131648327,-133.17251781483293,-16.033730035709574
135,-132.19309672917737,-28.03542717973771,-134.15900708823077,-16.197555898964026
136,-133.17958600257515,-28.19925304299217,-135.1454963616286,-16.361381762218485
137,-134.166075275973,-28.36307890624662,-136.13198563502638,-16.52520762547293
138,-135.1525645493708,-28.52690476950107,-137.1184749084242,-16.68903348872738
139,-136.13905382276857,-28.690730632755518,-138.10496418182203,-16.852859351981834
140,-137.1255430961664,-28.854556496009977,-139.0914534552198,-17.016685215236286
141,-138.11203236956422,-29.018382359264425,-140.07794272861761,-17.180511078490735
142,-139.09852164296203,-29.182208222518874,-141.06443200201542,-17.344336941745183
143,-140.08501091635983,-29.346034085773326,-142.05092127541323,-17.508162804999643
144,-141.07150018975764,-29.509859949027778,-143.03741054881104,-17.671988668254087
145,-142.05798946315545,-29.67368581228223,-144.02389982220885,-17.83581453150854
146,-143.04447873655326,-29.837511675536682,-145.01038909560666,-17.99964039476299
147,-144.03096800995107,-30.00133753879113,-145.99687836900446,-18.16346625801744
148,-145.01745728334888,-30.165163402045582,-146.98336764240227,-18.327292121271892
149,-146.00394655674668,-30.32898926530003,-147.96985691580008,-18.49111798452634
150,-146.9904358301445,-30.492815128554483,-148.9563461891979,-18.6549438477808
151,-147.9769251035423,-30.656640991808935,-149.9428354625957,-18.818769711035245
152,-148.9634143769401,-30.820466855063383,-150.9293247359935,-18.982595574289693
153,-149.94990365033792,-30.984292718317835,-151.9158140093913,-19.146421437544145
154,-150.93639292373572,-31.148118581572284,-152.90230328278912,-19.310247300798594
155,-151.92288219713353,-31.311944444826736,-153.88879255618693,-19.474073164053053
156,-152.90937147053134,-31.475770308081188,-154.87528182958474,-19.637899027307498
157,-153.89586074392915,-31.63959617133564,-155.86177110298254,-19.80172489056195
158,-154.88235001732696,-31.803422034590092,-156.84826037638035,-19.9655507538164
159,-155.86883929072474,-31.967247897844537,-157.8347496497782,-20.129376617070854
160,-156.85532856412254,-32.13107376109899,-158.82123892317594,-20.293202480325302
161,-157.84181783752038,-32.29489962435344,-159.80772819657378,-20.45702834357975
162,-158.8283071109182,-32.45872548760789,-160.79421746997158,-20.62085420683421
163,-159.814796384316,-32.622551350862345,-161.7807067433694,-20.784680070088655
164,-160.8012856577138,-32.78637721411679,-162.7671960167672,-20.948505933343107
165,-161.7877749311116,-32.95020307737125,-163.753685290165,-21.11233179659756
166,-162.77426420450942,-33.1140289406257,-164.74017456356282,-21.276157659852007
167,-163.76075347790723,-33.27785480388015,-165.72666383696063,-21.43998352310646
168,-164.74724275130504,-33.44168066713459,-166.71315311035843,-21.603809386360904
169,-165.73373202470282,-33.60550653038905,-167.69964238375627,-21.767635249615363
170,-166.72022129810065,-33.7693323936435,-168.68613165715405,-21.931461112869812
171,-167.70671057149846,-33.93315825689795,-169.67262093055186,-22.095286976124264
172,-168.69319984489627,-34.096984120152406,-170.65911020394967,-22.259112839378716
173,-169.67968911829408,-34.26080998340686,-171.64559947734747,-22.422938702633164
174,-170.66617839169186,-34.424635846661296,-172.6320887507453,-22.586764565887616
175,-171.65266766508967,-34.588461709915755,-173.61857802414306,-22.750590429142072
176,-172.6391569384875,-34.75228757317021,-174.6050672975409,-22.914416292396517
177,-173.6256462118853,-34.91611343642466,-175.5915565709387,-23.07824215565097
178,-174.6121354852831,-35.079939299679104,-176.57804584433654,-23.24206801890542
179,-175.59862475868093,-35.24376516293356,-177.56453511773432,-23.40589388215988
180,-176.58511403207876,-35.407591026188015,-178.5510243911321,-23.569719745414318
181,-177.57160330547654,-35.57141688944246,-179.53751366452994,-23.73354560866877
