time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp
2020/07/16/13:53:47.866072,34,1594875227,865780591,,,0,1594875264,-593.8334351,-249.4755249,-81.72081757,78.52559662,0.142440081,0.0336072035,0.360648096,0.552600026,0,-19.36739922,0.177998692,1594875227.86578
2020/07/16/13:53:47.966081,35,1594875227,965788602,,,0,1594875264,-595.9284058,-247.6783447,-81.70545197,79.16017151,0.145936161,-0.0236544181,0.384365827,0.549399972,0,-23.01779938,0.17855753,1594875227.96579
2020/07/16/13:53:48.066101,36,1594875228,65793275,,,0,1594875264,-597.0665894,-246.6698608,-81.69793701,79.48288727,0.103547543,-0.0183983929,0.376616895,0.547450006,0,-23.93039894,0.178869471,1594875228.06579
2020/07/16/13:53:48.166095,37,1594875228,165785551,,,0,1594875264,-599.3208008,-244.6006317,-81.68655396,80.12996674,0.145017654,-0.0596380718,0.40209347,0.546499968,0,-24.64019966,0.179486692,1594875228.16579
2020/07/16/13:53:48.266129,38,1594875228,265772581,,,0,1594875264,-600.2421875,-243.7249603,-81.68345642,80.38783264,0.0991740525,-0.0286800191,0.431500494,0.536450028,0,-24.8429985,0.179746509,1594875228.26577
2020/07/16/13:53:48.366105,39,1594875228,365763664,,,0,1594875264,-601.7311401,-242.2693329,-81.67928314,80.75759125,0.0740890056,-0.0129870474,0.439888358,0.490249991,0,-24.64019966,0.18016912,1594875228.36576
2020/07/16/13:53:48.466135,40,1594875228,465779781,,,0,1594875264,-603.527832,-240.4400787,-81.67191315,81.1477356,0.110955894,-0.0195698012,0.463836372,0.482199997,0,-24.53879929,0.180691615,1594875228.46578
2020/07/16/13:53:48.566139,41,1594875228,565783500,,,0,1594875264,-604.96875,-238.9112549,-81.66416931,81.46313477,0.0661199391,-0.0688741133,0.445757568,0.494150013,0,-24.53879929,0.181116745,1594875228.56578
2020/07/16/13:53:48.666115,42,1594875228,665775299,,,0,1594875264,-606.7033691,-236.9925232,-81.65588379,81.86513519,0.11441943,-0.107509486,0.421594143,0.505200028,0,-24.33600044,0.181643322,1594875228.66578
2020/07/16/13:53:48.766111,43,1594875228,765778779,,,0,1594875264,-608.0916138,-235.3907166,-81.65094757,82.19869995,0.106516898,-0.0270274803,0.437228918,0.512250006,0,-24.23459816,0.182074904,1594875228.76578
2020/07/16/13:53:48.865994,44,1594875228,865761280,,,0,1594875264,-609.7591553,-233.3827209,-81.64519501,82.61373901,0.0920034051,-0.0137704853,0.476974308,0.51910001,0,-24.23459816,0.182608157,1594875228.86576
2020/07/16/13:53:48.966101,45,1594875228,965783596,,,0,1594875264,-610.4066772,-232.5766449,-81.64259338,82.7824707,0.104526654,0.0134325027,0.473864913,0.524249971,0,-24.23459816,0.182816058,1594875228.96578
2020/07/16/13:53:49.066078,46,1594875229,65793275,,,0,1594875264,-612.6869507,-229.6121826,-81.63289642,83.40073395,0.125236481,-0.0201403163,0.486955643,0.538399994,0,-23.82899857,0.183578163,1594875229.06579
