,time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp,lateralOffset
30,2020/06/24/22:54:07.043489,38839,1593006847,43176651,,,0,1593006848,101.391777,-397.530365,-84.16844177,100.7125702,0.218275025,0.07753135259999999,-0.09479483960000001,1.0,0.0,3.903899908,0.0219331421,1593006847.04318,0.5592243503571308
31,2020/06/24/22:54:07.143490,38840,1593006847,143172025,,,0,1593006848,99.15265656,-397.939209,-84.1599884,101.5148697,0.27009359,0.030073126800000002,-0.0556021258,1.0,0.0,-0.405599982,0.0224022642,1593006847.1431699,0.5669701203325267
32,2020/06/24/22:54:07.243594,38841,1593006847,243238449,,,0,1593006848,95.46661377,-398.6185608,-84.14035034,102.8018265,0.232981578,-0.0008347560649999999,-0.0258622505,1.0,0.0,0.861899972,0.023170670499999997,1593006847.24324,0.572731590046797
33,2020/06/24/22:54:07.343485,38842,1593006847,343176126,,,0,1593006848,92.67234802,-399.1362305,-84.11698914,103.74057009999999,0.27082836600000004,-0.0733819753,0.00192932785,1.0,0.0,-1.825199962,0.0237524956,1593006847.3431802,0.5743786767051035
34,2020/06/24/22:54:07.443455,38843,1593006847,443145036,,,0,1593006848,89.76722717,-399.6736755,-84.08443451,104.7254562,0.26051911699999997,-0.0798400789,0.0298247337,1.0,0.0,-0.709799945,0.0243624318,1593006847.44315,0.5758795207729432
35,2020/06/24/22:54:07.543485,38844,1593006847,543173551,,,0,1593006848,88.56300354,-399.8959961,-84.07124329,105.12419129999999,0.258658826,-0.0883671865,0.0194862131,1.0,0.0,0.861899972,0.024611456299999997,1593006847.54317,0.5769360660725698
36,2020/06/24/22:54:07.643484,38845,1593006847,643177747,,,0,1593006848,84.13778687,-400.7131653,-84.03349304,106.5565872,0.266034693,-0.0124774333,0.0293482337,1.0,0.0,-3.244799852,0.025535898300000002,1593006847.6431801,0.5796370625643762
37,2020/06/24/22:54:07.743474,38846,1593006847,743165016,,,0,1593006848,82.38600159,-401.0354309,-84.02051544,107.10678859999999,0.251466244,-0.0005924437430000001,0.0563850887,1.0,0.0,-4.7657999989999995,0.025903156,1593006847.74317,0.5822398565929446
38,2020/06/24/22:54:07.843497,38847,1593006847,843178272,,,0,1593006848,78.14377594,-401.8080139,-83.98960876,108.41323090000002,0.248920113,-0.0142813921,0.0804446489,1.0,0.0,-4.360199451000001,0.026786033100000002,1593006847.8431802,0.5958928242418275
39,2020/06/24/22:54:07.943501,38848,1593006847,943137168,,,0,1593006848,76.98557281,-402.016449,-83.98144531,108.7638397,0.25306806,0.0012012451199999998,0.0892563611,1.0,0.0,-4.461599827,0.027027638599999997,1593006847.94314,0.6021790307740202
40,2020/06/24/22:54:08.043542,38849,1593006848,43176412,,,0,1593006848,73.03697205,-402.71646119999997,-83.9539032,109.91370390000002,0.237456217,-0.00160471827,0.136774853,1.0,0.0,-7.503600121,0.027854586,1593006848.04318,0.6330421372770022
41,2020/06/24/22:54:08.143524,38850,1593006848,143160343,,,0,1593006848,69.9543457,-403.2480164,-83.93271637,110.8163071,0.238146573,0.0013621944199999998,0.149815485,1.0,0.0,-7.300799847,0.0284952279,1593006848.1431599,0.6720648533104745
42,2020/06/24/22:54:08.243529,38851,1593006848,243165254,,,0,1593006848,67.39489746,-403.6771545,-83.91533661,111.55201720000001,0.240956038,0.0006411400390000001,0.17466673300000002,1.0,0.0,-6.084000111,0.029027614700000003,1593006848.24317,0.7150537878024757
43,2020/06/24/22:54:08.343522,38852,1593006848,343159914,,,0,1593006848,63.98399353,-404.230896,-83.89251709,112.516777,0.247135207,-0.000407749438,0.148907483,1.0,0.0,-4.055999756,0.029740737799999997,1593006848.34316,0.7891994027215747
44,2020/06/24/22:54:08.443502,38853,1593006848,443139076,,,0,1593006848,60.26023102,-404.8132935,-83.86764526,113.55105590000001,0.234798908,-0.00605083909,0.112632707,1.0,0.0,0.659099996,0.030513156200000002,1593006848.44314,0.8914108812700534
45,2020/06/24/22:54:08.543527,38854,1593006848,543165683,,,0,1593006848,58.66648865,-405.0570984,-83.85706329,113.99166869999999,0.228622004,0.00855157804,0.0956366956,1.0,0.0,2.484300137,0.0308457259,1593006848.54317,0.9402047654944113
46,2020/06/24/22:54:08.643529,38855,1593006848,643165588,,,0,1593006848,54.13212967,-405.74145510000005,-83.8272934,115.2209015,0.22760213899999998,-0.0109701976,0.0274838693,1.0,0.0,1.368899941,0.0317892618,1593006848.6431699,1.0893929279032546
47,2020/06/24/22:54:08.743515,38856,1593006848,743151187,,,0,1593006848,51.55984497,-406.1268921,-83.81079865,115.90926359999999,0.22829359800000001,-0.0008713203720000001,0.019212098799999997,1.0,0.0,0.659099996,0.0323244445,1593006848.74315,1.1761237081429863
48,2020/06/24/22:54:08.843532,38857,1593006848,843170166,,,0,1593006848,48.01016998,-406.6590271,-83.78833008,116.8444138,0.270028383,0.0105855642,-0.0264461972,1.0,0.0,1.166100025,0.0330619365,1593006848.84317,1.2966266909846478
49,2020/06/24/22:54:08.943461,38858,1593006848,943139791,,,0,1593006848,44.04411697,-407.2564087,-83.76292419,117.86393740000001,0.226552919,0.00907577109,0.00265808776,1.0,0.0,-1.4195998909999998,0.033887919,1593006848.94314,1.4282031716963992
50,2020/06/24/22:54:09.043484,38859,1593006849,43157815,,,0,1593006848,42.38963318,-407.506134,-83.7520752,118.28519440000001,0.23834388,-0.00127681578,-0.0016782991600000003,1.0,0.0,-0.912599981,0.0342303328,1593006849.04316,1.4824434327314582
51,2020/06/24/22:54:09.143504,38860,1593006849,143182754,,,0,1593006848,37.39094925,-408.2601318,-83.72002411,119.5349274,0.23453009100000002,-0.0284322444,0.006402166559999999,1.0,0.0,-0.608399987,0.0352734774,1593006849.1431801,1.6466429486280956
52,2020/06/24/22:54:09.243561,38861,1593006849,243182897,,,0,1593006848,34.02920151,-408.76531980000004,-83.70068359,120.3562088,0.218443587,-0.0103606721,0.0357931145,1.0,0.0,-1.4195998909999998,0.0359710306,1593006849.24318,1.7590118619049973
53,2020/06/24/22:54:09.343508,38862,1593006849,343144655,,,0,1593006848,31.94114494,-409.0773621,-83.68898773,120.857666,0.2245913,-0.00177702156,0.0210379586,1.0,0.0,-2.027999878,0.0364059992,1593006849.3431401,1.8309151671265735
54,2020/06/24/22:54:09.443484,38863,1593006849,443120956,,,0,1593006848,29.243406300000004,-409.47756960000004,-83.67382049999999,121.4970551,0.21870455100000002,0.00918991957,0.0626828372,1.0,0.0,-2.129400015,0.0369665734,1593006849.44312,1.9258293023691024
55,2020/06/24/22:54:09.543541,38864,1593006849,543173551,,,0,1593006848,24.10778427,-410.2290955,-83.64448547,122.6840057,0.20540107800000001,-0.0023634925,0.0828693435,1.0,0.0,-2.433599949,0.0380328111,1593006849.54317,2.116957939932329
56,2020/06/24/22:54:09.643527,38865,1593006849,643166065,,,0,1593006848,20.96078491,-410.68173219999994,-83.62684631,123.3968658,0.224991456,0.00411145529,0.0887795091,1.0,0.0,-2.534999847,0.0386868455,1593006849.6431699,2.2425641056533214
57,2020/06/24/22:54:09.743520,38866,1593006849,743158102,,,0,1593006848,19.53332138,-410.8848877,-83.61895752,123.7111435,0.198087767,-0.01237984,0.0820863545,1.0,0.0,-2.534999847,0.0389856398,1593006849.74316,2.3014729007683346
58,2020/06/24/22:54:09.843536,38867,1593006849,843175649,,,0,1593006848,14.71297359,-411.56015010000004,-83.59296417,124.7680588,0.210744455,-0.007988354190000001,0.0819941908,1.0,0.0,-2.839199781,0.039983585499999995,1593006849.8431802,2.511167912172034
59,2020/06/24/22:54:09.943465,38868,1593006849,943143129,,,0,1593006848,11.40638351,-412.01312260000003,-83.57569122,125.47039029999999,0.135739893,0.0187352933,0.09513482449999999,1.0,0.0,-3.143399954,0.0406728461,1593006849.94314,2.663486593883129
60,2020/06/24/22:54:10.043492,38869,1593006850,43169260,,,0,1593006848,7.14580822,-412.5830994,-83.55156708,125.8911209,-0.0434386171,0.0146020669,0.094457902,1.0,0.0,-2.636399984,0.0415577069,1593006850.04317,2.8707060260568014
61,2020/06/24/22:54:10.143499,38870,1593006850,143155574,,,0,1593006848,4.235229492,-412.96331789999994,-83.53424072,125.7259293,-0.0651746094,-0.00680494402,0.083733663,1.0,0.0,-1.92659986,0.0421611145,1593006850.1431599,3.021227165123517
62,2020/06/24/22:54:10.243508,38871,1593006850,243161916,,,0,1593006848,1.323633432,-413.33666989999995,-83.51747131,126.1259003,0.430615216,0.00814091228,0.0976051986,1.0,0.0,-1.4195998909999998,0.0427626334,1593006850.24316,3.1785425935048637
63,2020/06/24/22:54:10.343521,38872,1593006850,343178033,,,0,1593006848,-2.660385132,-413.8372498,-83.4947052,127.181221,0.17484746899999998,0.00312099117,0.050679300000000004,1.0,0.0,2.180099726,0.0435888544,1593006850.3431802,3.4036103293169764
64,2020/06/24/22:54:10.443495,38873,1593006850,443131446,,,0,1593006848,-5.5070014,-414.190033,-83.47833252,127.7366867,0.20497991100000001,0.0017350334699999998,0.026638949300000003,1.0,0.0,4.309499741000001,0.044182241,1593006850.44313,3.5693075244828947
65,2020/06/24/22:54:10.543524,38874,1593006850,543159008,,,0,1593006848,-8.791196823,-414.5960083,-83.45941162,128.4032898,0.21649949300000002,-0.00179115951,-0.0123935118,1.0,0.0,2.484300137,0.0448608063,1593006850.54316,3.7628117456891967
66,2020/06/24/22:54:10.643489,38875,1593006850,643167734,,,0,1593006848,-12.519699099999999,-415.05834960000004,-83.43952942,129.1680298,0.19785285,0.058935836,-0.0562977567,1.0,0.0,1.571699977,0.045633420300000005,1593006850.6431699,3.9767073788800955
67,2020/06/24/22:54:10.743503,38876,1593006850,743182659,,,0,1593006848,-17.5593586,-415.69149780000004,-83.41065216,130.1515656,0.187816158,0.0262023825,-0.0536785647,1.0,0.0,1.571699977,0.04667961599999999,1593006850.74318,4.240101353856591
68,2020/06/24/22:54:10.843487,38877,1593006850,843165397,,,0,1593006848,-19.06765366,-415.88302610000005,-83.40083313,130.4355774,0.190976292,0.0116219874,-0.0613771491,1.0,0.0,0.861899972,0.0469935723,1593006850.84317,4.3150638587130254
69,2020/06/24/22:54:10.943465,38878,1593006850,943143129,,,0,1593006848,-24.26422882,-416.54779049999996,-83.36837006,131.4459229,0.173402101,0.0987394303,-0.007081044840000001,1.0,0.0,-1.92659986,0.0480723567,1593006850.94314,4.572329476252797
70,2020/06/24/22:54:11.043490,38879,1593006851,43165445,,,0,1593006848,-27.64100647,-416.9813538,-83.34685516,132.08909609999998,0.238729313,-0.0613737442,0.022386644,1.0,0.0,-1.825199962,0.0487738624,1593006851.04317,4.7309858167336305
71,2020/06/24/22:54:11.143481,38880,1593006851,143162250,,,0,1593006848,-31.03461647,-417.41558839999993,-83.32718658,132.724472,0.190703824,0.0309503227,0.054267652300000004,1.0,0.0,-1.622399926,0.0494788177,1593006851.1431599,4.875448643486328
72,2020/06/24/22:54:11.243579,38881,1593006851,243236303,,,0,1593006848,-34.77587891,-417.8904419,-83.30636597,133.42616270000002,0.19206816,0.0123823434,0.0563392118,1.0,0.0,-0.202799991,0.0502552502,1593006851.24324,5.014723492670627
73,2020/06/24/22:54:11.343476,38882,1593006851,343161821,,,0,1593006848,-39.64723969,-418.50234989999996,-83.27921295,134.317276,0.186882436,-0.051380854100000005,0.057974278899999995,1.0,0.0,-0.202799991,0.0512644909,1593006851.34316,5.122990881051677
74,2020/06/24/22:54:11.443458,38883,1593006851,443150043,,,0,1593006848,-43.09943008,-418.9316711,-83.26232147,134.9463501,0.177622542,0.014311891,0.0552599654,1.0,0.0,-0.202799991,0.05197943,1593006851.44315,5.129455847727992
75,2020/06/24/22:54:11.543511,38884,1593006851,543154954,,,0,1593006848,-46.90443802,-419.4006653,-83.24266815,135.6165924,0.176317781,-0.0113917841,0.0366939567,1.0,0.0,-0.912599981,0.0527665503,1593006851.54316,5.095570122061452
76,2020/06/24/22:54:11.643531,38885,1593006851,643171310,,,0,1593006848,-50.84172058,-419.88076780000006,-83.21770477,136.2906342,0.193635628,0.033850356899999996,0.0520711243,1.0,0.0,-2.027999878,0.053582072300000005,1593006851.6431699,5.050304249110141
77,2020/06/24/22:54:11.743517,38886,1593006851,743156433,,,0,1593006848,-53.55323791,-420.2075806,-83.19411469,136.7647858,0.170213655,0.025795590099999998,0.0647033453,1.0,0.0,-2.534999847,0.0541450195,1593006851.74316,5.013929063094112
78,2020/06/24/22:54:11.843509,38887,1593006851,843153953,,,0,1593006848,-57.41083145,-420.66720580000003,-83.15744019,137.43618769999998,0.19218967899999997,0.031200327000000003,0.0456888527,1.0,0.0,-2.534999847,0.0549426749,1593006851.84315,4.953715285947181
79,2020/06/24/22:54:11.943490,38888,1593006851,943135976,,,0,1593006848,-60.60204697,-421.0424194,-83.1295929,137.95309450000002,0.19939132,-0.0431883708,0.08409604429999999,1.0,0.0,-2.636399984,0.0556045584,1593006851.94314,4.89565059287508
