,time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.identifier.data,.size.data,.TimeStamp.data,PosLocalX,PosLocalY,Height,GPS_Speed,AccelX,AccelY,AccelZ,PedalPosAcc,PedalPosBrk,AngleSteer,carPositionNormalized,TimeStamp,lateralOffset
39,2020/06/24/22:33:51.893934,27752,1593005631,893653869,,,0,1593005568,-127.9182281,25.30033684,1.64625299,88.72014618,-0.0386723503,-0.00592883164,-0.08618634189999999,1.0,0.0,2.991299868,0.0139982067,1593005631.89365,-0.12781433003392906
40,2020/06/24/22:33:51.993944,27753,1593005631,993662357,,,0,1593005568,-131.3885803,25.27462006,1.685637236,88.50806427,-0.0542788096,-0.00854706671,-0.057795878499999995,1.0,0.0,1.7744998930000002,0.0146649526,1593005631.99366,-0.1106113186253552
41,2020/06/24/22:33:52.094167,27754,1593005632,93797683,,,0,1593005696,-132.78910829999998,25.26096535,1.700217724,88.45778656,0.0693830177,-0.0206347741,-0.055843267599999996,1.0,0.0,1.977299929,0.0149345491,1593005632.0938,-0.10338834074621675
42,2020/06/24/22:33:52.194069,27755,1593005632,193737268,,,0,1593005696,-135.9917755,25.22362137,1.73183012,90.48827362,0.471683621,-0.0201378167,-0.0507777259,1.0,0.0,2.991299868,0.015549686699999999,1593005632.1937401,-0.08286258478458289
43,2020/06/24/22:33:52.294059,27756,1593005632,293729305,,,0,1593005696,-137.2030029,25.20736504,1.744062424,91.0676651,0.28698283399999996,0.049225643300000003,-0.058684691799999994,1.0,0.0,3.244799852,0.0157826431,1593005632.29373,-0.07329298881851337
44,2020/06/24/22:33:52.393968,27757,1593005632,393679857,,,0,1593005696,-140.7990265,25.15147972,1.785311937,92.51338959,0.31469669899999997,-0.013675118799999999,-0.054244346900000004,1.0,0.0,2.8898997310000003,0.0164735802,1593005632.39368,-0.046341334081342694
45,2020/06/24/22:33:52.494028,27758,1593005632,493703365,,,0,1593005696,-142.96894840000002,25.11231422,1.811615705,93.42798615,0.30446136,0.00369531731,-0.06744296849999999,1.0,0.0,2.737799883,0.0168910362,1593005632.4937,-0.03066565766361205
46,2020/06/24/22:33:52.593961,27759,1593005632,593677282,,,0,1593005696,-146.6579132,25.03645325,1.857461095,94.90437317,0.28979715699999997,0.0171352234,-0.0479869023,1.0,0.0,1.166100025,0.0175993685,1593005632.5936801,-0.006513713410054617
47,2020/06/24/22:33:52.694000,27760,1593005632,693677902,,,0,1593005696,-148.16545109999998,25.00266838,1.8770455119999998,95.49399567,0.296538383,0.0088043008,-0.025462055600000002,1.0,0.0,-1.5210000280000002,0.0178895555,1593005632.69368,0.0016506139308042032
48,2020/06/24/22:33:52.793934,27761,1593005632,793653488,,,0,1593005696,-150.64503480000002,24.94585609,1.909545541,96.45604706,0.297976941,0.025443298700000002,0.012281226000000001,1.0,0.0,-4.055999756,0.018366271599999998,1593005632.79365,0.014167813599024963
49,2020/06/24/22:33:52.893962,27762,1593005632,893654823,,,0,1593005696,-153.1491699,24.88892555,1.942447424,97.38786316,0.282964379,-0.0044980598600000005,0.0035199108500000003,1.0,0.0,0.0,0.0188479368,1593005632.89365,0.026638754783281607
50,2020/06/24/22:33:52.994012,27763,1593005632,993721008,,,0,1593005696,-156.90974430000003,24.80415153,1.9890091419999998,98.78598785,0.27753356100000004,-0.0228958167,0.0128007382,1.0,0.0,-0.405599982,0.0195705108,1593005632.9937198,0.04427347324939238
51,2020/06/24/22:33:53.094049,27764,1593005633,93715906,,,0,1593005696,-159.7234344,24.74208641,2.021807671,99.80003357,0.279975653,0.028714062599999996,-0.0033861249700000004,1.0,0.0,1.216799974,0.0201112293,1593005633.09372,0.05983845031387639
52,2020/06/24/22:33:53.194111,27765,1593005633,193710327,,,0,1593005696,-161.05737299999998,24.71266747,2.038081408,100.26329799999999,0.274103045,0.00274712709,-0.00563981431,1.0,0.0,0.912599981,0.0203679949,1593005633.1937099,0.06728958009503581
53,2020/06/24/22:33:53.294128,27766,1593005633,293784618,,,0,1593005696,-164.9272461,24.62657928,2.086633921,101.6195679,0.287801176,-0.00259947078,-0.012167559,1.0,0.0,1.0647000070000001,0.021111909300000002,1593005633.29378,0.09030315076599434
54,2020/06/24/22:33:53.394088,27767,1593005633,393754482,,,0,1593005696,-167.8206482,24.56039238,2.124443531,102.60171509999999,0.266897887,0.0496976115,-0.0265552774,1.0,0.0,1.368899941,0.0216674004,1593005633.39375,0.10687702162803087
